usr_code,title,review,rating,place,travel_date
schristie849,Surfer's Paradise,"Consistent surf all day most days, great beach. Wetsuits are preferred. Dolphins entertained on occasion. Great location for restaurants, shopping and bars. Awesome miles long boardwalk perfect for walking, dog walking, jogging , biking, scooters, skateboards. And perfect San Diego weather.",50,Pacific Beach,October 2018
Nishita J,A day at the pacific beach,Loved loved loved this beach. Spent entire day biking around and eating tacos. Highly highly recommend Waterbar restaurant and strawberry ice cream from the small Kahlua cart next to it.  ,50,Pacific Beach,October 2018
Dean A,Fantastic place to RELAX with friends or get up a volleyball game.,This is a fun atmosphere!!!   They have volleyball nets set up all the time.  The same feels great on your feet.   Don't forget the suntan lotion even if you out for a small amount of time.,40,Pacific Beach,September 2018
500jeannep,Great park! Fantastic scenery!,"Lovely large grass area in La Jolla. Great for picnic, ocean views, and summer concerts on weekend afternoon/evenings. Bathrooms nearby are usually disgusting though. Parking is a challenge, so you may end up walking a bit. There are lots of great restaurants within walking distance so it's a perfect place to take a sunset stroll and then a bite to eat without having to repark.  LJCove is nearby so you can see swimmers, a u a divers, and snorkelers.",50,Ellen Browning Scripps Park,May 2015
Stuart L,Crashing waves and seals,"Great rock and cliffside beach - fun to explore and relax.  Sea lions roaring, shore birds, cormorants, and more.  It's like being in a natural zoo.",50,Ellen Browning Scripps Park,July 2015
MiAmorEterno,A definite must visit,"this park is adjacent to La Jolla Cove.  It's more of a large patch of grass with very unique trees.  nice place to have a picnic or to have as your base as you explore the cove.  Parking is free, but there is very limited parking, especially in the summertime.  if you want a free parking, you'll have to arrive very early.  gorgeous views of the ocean and bay.",40,Ellen Browning Scripps Park,August 2015
kg501,Went here after breakfast at The Cottage,Went here to view the seals!  SO cute!  Nice paved trail along the sea cliff.  Lucked out with free street parking.,40,Ellen Browning Scripps Park,September 2015
Jim K,Year Round Christmas Shop,City Lights is a Christmas wonderland for young and old. Shop early to avoid the rush as Christmas nears. My wife and I have been visiting and shopping here for years and each visit is more enjoyable than the last one.,40,City Lights Collectables,September 2018
grandslamhomer,Home For The U.S.D. Torero's & San Diego Legion Rugby Teams,"I went to watch the San Diego Legion Rugby team in the playoffs against the Rugby United New York team. The USD Torero Stadium is a perfect place for the San Diego Legion to play. I had Parking at the Mission Parking Structure across from the stadium. As you enter the Stadium above the seating area outside of the beautiful Jenny Graig Pavilion, there are many vendors in booths  selling Food, Drinks, and Souvenir items. The 6,000 person seating areas in the Torero Stadium is just the right size for the San Diego Legion Rugby Team crowd. On one side of the stadium they have Plastic individual chair seats. On the end zone and other side of the stadium they just have hard concrete bench seats, so bring a pad to sit on. Also its hard to sit on the visitor side which is the VIP seating ? Because you have to walk all the over to the other side of the field to see the wide variety of Food and Drink items and to go to the bathroom.",40,Torero Stadium,June 2019
Manuel C,Unbeleavable!,"If it´s not enough the research work that is done at the Salk Institute to make it an exceptional place, you should take a look to it´s outstanding architecture, a work from late German master Louis Kahn a relevant talent that left a remarkable sample of his heritage in this medical research insitute, in the Torrey Pines area. They have guided tours for which the ask you for a donation, and I asure you that you will give with a lot of pleasure.",50,Salk Institute,November 2014
Cheryl A,Salk Architectural Tour,"This is a hidden gem in San Diego; worthy of the hour offered for this tour, led by an architect.  Though I've lived in this area for 35 years, I missed this one.  Don't make the same mistake.  It's wonderful to hear about the vision that Jonas Salk and Louis Kahn had for the health and future of this community, of all humanity, in fact.  And then, to actually create an interpretation of that vision in the form of a research institute is just stunning.  The experience is still with me, after nearly a week!",50,Salk Institute,April 2015
srogan354,Nice beach,We love to come to this beach.  It is a wide open sandy beach.  Perfect for family.  There is usually parking near by and lots of restaurants and bars.  ,50,Mission Beach,September 2018
Linda M,Mission beach sunsets are amazing,This beach is fun. There are several alcove areas where you can be alone and enjoy the sunsets.Mission beach/bay has many smaller beach/sand areas for everyone. Very big beach ,50,Mission Beach,July 2018
Charles W,Always something to do,"People say crowded here , maybe on holiday weekends.  but most weekends you can get a parking space and enjoy the beach, food , bike riding etc.  ",50,Mission Beach,September 2018
LondonLockwood,Well worth a visit ..,Old Town is easy reachable by train from Gaslamp or Seaport for a mere 2.50 .. bargain . Definitely worth coming for lunch ! Enjoy !,40,Old Town San Diego State Historic Park,July 2019
E860LQrachelb,A total must... ,Fantastic little explore.. Great shops fantastic food. A real idea of Mexico in America... Plenty to do. Went twice ,50,Old Town San Diego State Historic Park,July 2019
troyf925,Who knew we loved it ,"This was really cool and On the advice of our lyft driver we checked it out and were really surprised this place was happening, rich in Mexican heritage, dancing shopping and food galore I even found a new golf hat. Totally worth the time to check out. ",50,Old Town San Diego State Historic Park,July 2019
