title,usr_code,review,place,travel_date,rating
A wonderful way to ring in the new year!,Eshleman13,"We were invited to spend New Years at this comedy theater. $50, open bar, caractures, and a show. It was so much fun. The group of people ranged from young 21 to an older couple in there 60's.  It was such a great experience that I would recommend it for every New Years!!",pH Comedy Theater,December 2014,50
New Year's Laughs,K P,"We had a lot of fun at pH Comedy Theater bringing in the new year, 2015.  The $50 ticket included a fun improv show, open bar (!), lots of appetizers, a complimentary caricature artist, champagne toast, and dancing!  What a deal on New Year's Eve in Chicago!  We are excited to go back another time, it looks like they offer very inexpensive entertainment almost nightly!  And it's byob!  A cool find!",pH Comedy Theater,December 2014,50
Talented Youth,SOGChicago,"So, if you want to see the real Chicago, the young and talented youth in Chicago, and not break the bank, come here!",pH Comedy Theater,November 2015,50
Got $9 dollar half price tickets,PeterMate,"They started off strong. As the performance went on, it degraded. For the price, I would say it was a good value. We as a family of 20 year olds and my 50+ parents all found jokes that were relatable and funny. If you are looking for a bargain or cant find anything else in town that interests you, this is a pretty good bet. BYOB, the bar across the street had good beverage deals.",pH Comedy Theater,June 2016,40
The kid loves it,EPM829EP,This small playspace is a favorite for our 3-year-old. It would be nice if there was more room for the parents to drink a coffee.,Explore and Much More,March 2015,30
Great escape from the cold,Monash196,"We visited whilst on vacation from Australia. The temperature difference between Chicago and home was around 110°F so our 18 month old definitely felt the cold whilst outside. After being stuck inside for so long it was wonderful to be able to let him play for a few hours at this great centre. The staff were very polite and helpful. $12 for single day entry to stay as long as you want. There are two floors of play equipment including a toy kitchen, slide, and jumping castle, amongst many other things. Change and bathroom facilities were clean. Our son had a fantastic time and we would definitely return.",Explore and Much More,January 2016,50
Cool spot for prints ,kjknows,They had a large selection of prints from artist all over the states and many local artists. Very fair prices and a non snobby art gallery for us millennial folk  this a really cool gallery for anyone interested in prints and street art. ,Galerie F,September 2016,50
A Chicago Gem,JeffS_Toronto,"I have been to this restaurant twice. Once with friends and once with my family on a vacation.  Both times I was equally impressed.  Casual upscale dining.  The food is classic American with a gourmet flare.  For the quality of food and presentation, the menu is very diverse and very fairly priced.  The owners are always around and very friendly.  The last time we ate there we had our 4 kids with us (9, 7 and 5 at the time) and it went very well.  The owners told us they have a child and they have a ridiculously inexpensive children's menu to accomodate kids.  It is probably my favorite restaurant in Chicago.  The only drawback for me is I usually stay downtown and it is a bit of trek to the trendy area it is located in but don't let that stop you from finding this Chicago gem.",HBTV Hearty Boys,February 2011,50
Unique wedding reception,dvandyck,"The gallery space was very open and inviting for my cousins wedding reception June 2, 2012. The artwork was displayed very well as a back drop for an elegant evening of jazz music, tasty heavy h'ors deurves and fun ice cream treats. The gallery staff was very friendly and accomodating and allowed for several indoor and outdoor tables, 2 bars and a small dance floor. The food was an amazing taste or treats from different ethnicities. The entertainment was the perfect fit for the ancient tribal artwork. I would definitely recommend for an event rental space.",Douglas Dawson Gallery,June 2012,50
limo chicago,naz n,http://a1classiclimo.com,Ballet Chicago,November 2012,50
Good venue for music,DiogoTPrado,"For this kind of concert, the venue does the job very well. I've seen better ones, yes, but the Congress Theater is a bit above average.",Congress Theater,September 2012,40
Dump!,Jonathan B,"This place is a dump. But if a band you follow is here, oh well. It smells. The restrooms are atrocious. The place needs a major rehab.",Congress Theater,January 2013,20
Free Plays in Chicago,lchicagolaw,"While the shows are good, the theater is not fancy.  Just sayin', so you  won't be surprised.",The Blue Theatre,December 2014,40
Community,HockLye,"We chanced upon this little community church after breakfast in little Italy. It was a Sunday, so we can see the local congregation worshipping. Looks like mostly from they are mostly from Philippine descent then Italy.",Shrine of our Lady of Pompeii,July 2017,50
Biking trail on the South Side,O6378WFannag,"It is a nice biking trail, however for some unknown to me reason I think there was too much broken glass on it. Is it not cleaned too often? Also information boards are scarce and if they exist they are almost unreadable (painted over with graffiti or just damaged).  It would be nice to have more information borads on the way so bikers know where they are going and are not lost (there are some changes on the trail that may be confusing, or trails is ending sometimes and bikers need to stay on the street).",Burnham Greenway,June 2015,30
