title,travel_date,rating,place,usr_code,review
A little piece of magic,April 2018,50,Miami Beach Botanical Garden,DakotaRedCat,"A small, sweet, peaceful botantial gardens that is fairly near the convention center.    Lovely place to walk around for 1/2 hour and enjoy the tropical flora.  Or have a picnic. They host public events from time to time as well.  Check their website's on line calendar.  It is very near the Holocaust Memorial so it is easy to visit both together."
Wonderful place to enjoy nature and relax!,May 2018,40,Miami Beach Botanical Garden,Mary N,Well kept with a much appreciated mix of shade and sun; Benches and seats are sprinkled throughout!  The garden is not large but the winding paths make it feel expansive. Partially hidden garden features lure you around the bend.  The newly added Pine Rockland Demo Garden was my favorite!  The restroom and drinking fountain were clean and centrally located within the garden.
Must go,March 2019,50,Little Havana,hojo15,"First time to this area of Miami, so glad I went. Place is hopping at night lots of action going on. Walk the streets and stop anywhere for food, drinks and music.  Good fun,!"
Have to go,February 2019,50,Little Havana,majellan03,Dominos Park - do it for 5 minutes or the afternoon.
Little Havana,April 2019,50,Little Havana,768petraa,Totally exceeded my expectations.  For some unknown reason I envisioned it to be run down and dirty and was pleasantly surprised in the beauty and its cleanliness.  Loved the street art in the area.
Great restaurant/bar within walking distance of the Sleep Inn.,January 2017,50,Tom's NFL,beneman3,"This restaurant is a little bit of a walk from the Sleep Inn, but we enjoyed it so much.  On Super Bowl Sunday it was packed so we ordered carry out and ate in the motel (6 of us).  The food was great, but we realized when we got back to the motel that they had forgotten one person's order, so back my husband went.  They were so apologetic, replaced the missing order with a fresh order, and did not charge for it because of the inconvenience. So both food and service were outstanding! "
A regular visitor,February 2017,50,Tom's NFL,frankculver,"Food, service, atmosphere are great!  Friendly people.  I will continue to make this a regular dinner and lunch place."
"great place, nice atmosphere",March 2017,40,Tom's NFL,Londra_11,"We went there a couple of times for a late bite as we stayed in an hotel close by. Staff is very nice and atmosphere is great. Can be a bit noisy in the front but much less noisy in a booth in the back. Food is simple and good , beer is chilly . What else do you need!"
Good food,March 2017,50,Tom's NFL,Maria K,We eat every day this time good food and good service  i love there onionsoup and clam chowder awesome chicken wings well i eat most on there menu delicious 
Dinner & Lunch,February 2017,50,Tom's NFL,Piglet810,Would recommend this place and would definitely go back when next in Miami
Great,April 2019,40,Little Havana,Brian D,If you have some extra time while visiting Miami I would suggest making a stop here. Some of the best coffee and food in South Florida. Get a Cuban coffee! You will not be disappointed. 
Loved it!,April 2019,50,Little Havana,Ammie L,We enjoyed visiting Little Havana and actually went back for a quick drop in to grab some souvenirs. We stopped in many of the coffee cigar shops. The food was great and the atmosphere was fun. Both trips we went were during the day. 
Free trolley rides around Miami Beach!,October 2018,50,Miami Trolley,Dacia D,"The trolley was great to take to other parts of Miami Beach, locals also use it for their transportation so it gets crowded but it's worth using."
Convenient,October 2018,40,Miami Trolley,Bob D,"There was a stop on both sides of the road at the hotel that we stayed at. We were able to take the trolley almost everywhere that we went. Some of the drivers drove a little erratic at times, but we always got where we needed to go - and the price is great! You can't beat free...."
Fantastic Free Service ,October 2018,50,Miami Trolley,SAB5859,"The trolleys could get quite full, but what a fantastic free service."
It's FREE!!!,October 2018,50,Miami Trolley,Eura B,This was SUCH a great find!  One of the staff persons at our hotel recommended that we visit Bayside Market and told us about the MetroMover shuttle!  How refreshing to find this cute little shuttle that offers multiple locations for pick up and dropff for FREE!  I come from a city/state where you have to pay for EVERYTHING!! this was great! Very quaint and just what we needed. 
Good people in this world ,October 2018,50,Miami Trolley,mikeyyyy66,Company 
Great artist-do visit.,February 2016,50,Britto Central,nebahat,"We found the Romero Britto gallery by accident, we were shown round as we really enjoyed his work. He also does pieces for cruise ships and I found gifts in the airport by him too."
love it !!,January 2016,50,Britto Central,Dayana m,"just love it ,I wanted to buy everything! colorful art perfect to decorate any room ,any office.i got a lot of souvenirs and accents for my office."
"Love Britto's work, Very Happy Themes",February 2016,50,Britto Central,JamesD007Travels,"Romero Britto has come a long way with his art. While some say it is commercial, I like the way it makes me feel. His subjects are lively, happy and upbeat. "
Garish empty nonsense,February 2016,10,Britto Central,Simon T,"This is not a gallery per se, just a bright and garish take on nothingness made shiny.  This does not even wink the Real Miami arts scene, not worth waking past."
Perfect for what we wanted,October 2016,50,Tom's NFL,Christopher W,"My wife was concerned about walking there from the hotel and said she would not walk it alone, but there were no issues and it was not a problem."
It is a local jewel,October 2016,50,Tom's NFL,b747sfe,"I went with my friend who has lived in MIA for 20 years and never before here, we both loved it, great food, lots of TV's, service could improve, servers spend a long time talking to the regulars, but in general it is very nice place, and not to forget, decent prices too."
Great place for Sunday football,November 2016,50,Tom's NFL,mohawk1129,while staying overnight in Miami
NFL Sunday ,December 2016,50,Tom's NFL,Ambitious3536,I use Ubereats for the time and I order from this place the Chicken Wings and Fries was the best and I will order again
Good But...,August 2016,30,Tom's NFL,Jessica V,"The restraunt is good with many tvs and entertainment but, the food was not so good and the service was decent."
