review,travel_date,place,title,usr_code,rating
Wanted to see this statue as an Elvis fan but little disapionted as not quite a good resemblanse but still worth the walk ,May 2018,Statue of Elvis,fans to see,Kathy L,40
"If you go to Beale Street stop and take a picture. I wouldn’t go out of my way to do much more.  Simple, but cool.",May 2018,Statue of Elvis,Not Much to Say,Lim4u,30
It's worth finding to get a picture or two while walking around in Memphis.  Being a huge Elvis fan I'd recommend.,April 2018,Statue of Elvis,Good photo op,sexandthecity1218,40
There are so many little nooks and cranny's in Memphis that have little bits of History. Take a walk down Beale and see all the little signs and statues. ,November 2017,Statue of Elvis,The King is on Beale St,Mona I,50
"I loved this statue, a nice tribute to the King! This is located right near Beale St. Our Mojo tour bus was parked right next to the statue so we were sure to see it. ",August 2017,Statue of Elvis,just awesome,E911DBdeniseb,50
The Asian collection is large in size and scope. Very accessible and easy to navigate. We were amazed by the virtuosity  and complexity of the artistry and it is a don't miss experience. Judiac art was also massive in size - but we were not bowled over by the artistry - but we are not so interested in contemporary art. ,July 2016,Belz Museum of Asian & Judaic Art,Massive and remarkable art,cwxyz,50
A wonderful collection of Judea and Asain Art. The pieces were amazing on both sides. Located remotely awkwardly but never the less very well displayed. The gift shop was very nice as well. Had a holocaust display as well.,June 2016,Belz Museum of Asian & Judaic Art,Hidden Gem,Maria E,50
"I had read the reviews but knew my husband and 2 sons had no interest in going - so this was probably a stop I was going to miss.  However, when my husband laid down with me and the 4 year old to take a nap on our last day in Memphis (this is usually a mommy job so that daddy can go get some quiet time), I took the opportunity to let him sleep at the hotel and I high tailed it to the museum -- boy am I glad I did. Let me start by saying while I love art, I have zero interest in Asian art, but this exhibit took my breath away - I was physically moved by the collection.  I think this resulted from the absolutely amazing caliber of artwork from amazing artisans (a level of Asian artistry I have never seen in a museum -- but then I usually skip this section of the museum), the fact that this is a private collection & I still can't fathom how one family can own this caliber of art, and also while an amazing collection it is pretty easy to take in.  I left with a new appreciation for the quality of craftsmanship that has come from Asia.  I then took a brief walk though the Judaic section -- I also have zero interest in religious art, but I did observe that I have never seen Judaic art in the dozens of galleries I had been in, only Christian art -- which says a lot I suppose.  I then wondered into the room with the stories from Holocaust survivors from Memphis and was moved in a much more emotional way reading there stories.  This isn't for everyone -- but if you even like art a little bit -- go, you will not be sorry you did.",July 2016,Belz Museum of Asian & Judaic Art,Unbelievable - Breathtaking,TravelFamily72410,50
So many items on display that you will never see anywhere else.  The signage is informative and I always learn something new each time I go.,July 2016,Belz Museum of Asian & Judaic Art,A Hidden Treasure in Memphis!,Regina B,50
"A spectacular collection of impressive Chinese works of art, mostly from the last dynasty (Qing), and Jewish art as well, from a private collection.  I hadn't realized that these items had to survive the Mao revolution.  The quality of the work was detailed, intricate, elaborate, and often ""large"" in scale.  The Jewish section had a special exhibit of short testimony/memoirs of holocaust survivors living in the Memphis area.  It was quite moving and unique, representing the local community.",July 2016,Belz Museum of Asian & Judaic Art,Under the Radar Gem,Doingitslowly,50
"They have a good museum of history and animals. The actual palace is closed for the next several months for renovations.  The planetarium and IMAX was good.  Watched the Changes in Weather at IMAX, and Star Gazing at the planetarium.  Cost for all was kind of high, given we did not get to tour the palace.  About $75 for 3.  Took about four hours to tour museum and watch show.  ",April 2017,Pink Palace Museum,Spring Break 2017,PRister,40
"First, a big thank you to Trip Advisor reviewers prior to me. I was able to buy a discounted Family Pass on Groupon. The family pass more than paid for itself and we received a buy-1-get-1-free sandwich from the cafe. I did this and would not recommend it. The service is slow and the Cafe is not charming - very utilitarian. We went to the IMAX movie and the Planetarium and enjoyed both. We really liked seeing the Piggly Wiggly Grocery store and seeing the cultural exhibits on the second floor. This museum is eclectic, but it tells some good stories. The famous circus exhibit is also under restoration.",April 2017,Pink Palace Museum,Do not let the renovation deter you.,Kate F,40
Kids had fun. From a history stand point one of the best small scale museums I have been too. Would love to go again! ,December 2016,Pink Palace Museum,Very cool,Samantha B,50
 to my child. I and my son deserve an apology. We will not be returning until so.,April 2017,Pink Palace Museum,Not happy!,vanessaabby,10
"Tried three times to visit the Landing.  No parking was available, especially handicapped parking.  Nearest lot was about half a mile.  Nice overlook of the river and adjacent park activities.",August 2017,Beale Street Landing,"NICE ARE, NOT MUCH PARKING",Chuck8700,30
